no,id,name,city,country,iata,icao,latitude,longitude,altitude
69,3093,Indira Gandhi International Airport,Delhi,India,DEL,VIDP,28.56649971,77.10310364,777
70,3094,Gwalior Airport,Gwalior,India,GWL,VIGR,26.29330063,78.22779846,617
71,3095,Hissar Airport,Hissar,India,\N,VIHR,29.17939949,75.75530243,700
72,3096,Jhansi Airport,Jhansi,India,\N,VIJN,25.49119949,78.55840302,801
73,3097,Jodhpur Airport,Jodhpur,India,JDH,VIJO,26.25110054,73.04889679,717
74,3098,Jaipur International Airport,Jaipur,India,JAI,VIJP,26.82419968,75.81220245,1263
75,3099,Jaisalmer Airport,Jaisalmer,India,JSA,VIJR,26.88870049,70.86499786,751
76,3100,Jammu Airport,Jammu,India,IXJ,VIJU,32.68909836,74.83740234,1029
77,3101,Kanpur Airport,Kanpur,India,KNU,VIKA,26.44140053,80.36489868,411
78,3102,Kota Airport,Kota,India,KTU,VIKO,25.16020012,75.84559631,896
79,3103,Ludhiana Airport,Ludhiaha,India,LUH,VILD,30.85470009,75.95259857,834
80,3104,Leh Kushok Bakula Rimpochee Airport,Leh,India,IXL,VILH,34.13589859,77.54650116,10682
81,3105,Chaudhary Charan Singh International Airport,Lucknow,India,LKO,VILK,26.76059914,80.88929749,410
82,3107,Patiala Airport,Patiala,India,\N,VIPL,30.31480026,76.36450195,820
83,3108,Pantnagar Airport,Nainital,India,PGH,VIPT,29.03339958,79.47370148,769
84,3109,Fursatganj Airport,Raibarelli,India,\N,VIRB,26.24850082,81.38050079,360
85,3112,Sheikh ul Alam Airport,Srinagar,India,SXR,VISR,33.98709869,74.77420044,5429
86,3113,Satna Airport,Satna,India,TNI,VIST,24.56229973,80.85489655,1060
87,3130,Agatti Airport,Agatti Island,India,AGX,VOAT,10.82369995,72.1760025,14
88,3131,Kempegowda International Airport,Bangalore,India,BLR,VOBL,13.1979,77.706299,3000
89,3132,Bellary Airport,Bellary,India,BEP,VOBI,15.16279984,76.88279724,30
90,3134,Vijayawada Airport,Vijayawada,India,VGA,VOBZ,16.53039932,80.79679871,82
91,3135,Coimbatore International Airport,Coimbatore,India,CJB,VOCB,11.02999973,77.04340363,1324
92,3136,Cochin International Airport,Kochi,India,COK,VOCI,10.15200043,76.40190125,30
93,3137,Calicut International Airport,Calicut,India,CCJ,VOCL,11.13679981,75.95529938,342
94,3138,Cuddapah Airport,Cuddapah,India,CDP,VOCP,14.51000023,78.77279663,430
95,3140,Dundigul Air Force Academy,Dundigul,India,\N,VODG,17.62719917,78.40339661,2013
96,3141,Begumpet Airport,Hyderabad,India,BPM,VOHY,17.4531002,78.46759796,1742
97,3142,Madurai Airport,Madurai,India,IXM,VOMD,9.83450985,78.09339905,459
98,3143,Mangalore International Airport,Mangalore,India,IXE,VOML,12.9612999,74.89009857,337
99,3144,Chennai International Airport,Madras,India,MAA,VOMM,12.99000549,80.16929626,52
100,3145,Nagarjuna Sagar Airport,Nagarjunsagar,India,\N,VONS,16.54269981,79.3187027,658
101,3146,Vir Savarkar International Airport,Port Blair,India,IXZ,VOPB,11.64120007,92.72969818,14
102,3147,Pondicherry Airport,Pendicherry,India,PNY,VOPC,11.96870041,79.81009674,118
103,3148,Rajahmundry Airport,Rajahmundry,India,RJA,VORY,17.11039925,81.81819916,151
104,3149,Salem Airport,Salem,India,\N,VOSM,11.7833004,78.06559753,1008
105,3150,Tanjore Air Force Base,Tanjore,India,\N,VOTJ,10.72239971,79.10160065,253
106,3151,Tirupati Airport,Tirupeti,India,TIR,VOTP,13.63249969,79.54329681,350
107,3152,Tiruchirapally Civil Airport Airport,Tiruchirappalli,India,TRZ,VOTR,10.76539993,78.70970154,288
108,3153,Trivandrum International Airport,Trivandrum,India,TRV,VOTV,8.48211956,76.92009735,15
109,5711,Diu Airport,Diu,India,DIU,VA1P,20.71310043,70.9210968,31
110,6168,Hubli Airport,Hubli,India,HBX,VAHB,15.36170006,75.0848999,2171
111,6172,Shillong Airport,Shillong,India,SHL,VEBI,25.70359993,91.97869873,2910
112,6173,Lokpriya Gopinath Bordoloi International Airport,Guwahati,India,GAU,VEGT,26.10610008,91.58589935,162
113,6174,Dimapur Airport,Dimapur,India,DMU,VEMR,25.88389969,93.77110291,487
114,6175,Tezpur Airport,Tezpur,India,TEZ,VETZ,26.70910072,92.78469849,240
115,6741,Gorakhpur Airport,Gorakhpur,India,GOP,VEGK,26.73970032,83.4496994,259
